lemma,form,pos,dialect
"βοῤῥᾶς, βορρᾶς","βοῤῥᾶ, βορρᾶ","noun   ",NULL
"βοῤῥᾶς, βορρᾶς","βοῤῥᾶν, βορρᾶν","noun   ",NULL
"βοῤῥᾶς, βορρᾶς",βορρᾷ,"noun   ",NULL
"ἀῤῥενωδῶς, ἀρρενωδῶς","ἀῤῥενωδῶς, ἀρρενωδῶς","adv    ",NULL
"καρυίσκος, καρυΐσκος",καρυίσκους,"noun   ",NULL
"διΐστημι, διίστημι","διϊστῶσιν, διιστῶσιν","verb   ",NULL
"κράβαττος, κράββατος",κράβαττον,"noun   ",NULL
"κράβαττος, κράββατος",κραβάττου,"noun   ",NULL
"κράβαττος, κράββατος",κραββάτῳ,"noun   ",NULL
"θαῤῥέω, θαρρέω","θαῤῥῶ, θαρρῶ","verb   ",NULL
"θαῤῥέω, θαρρέω","θάῤῥει, θάρρει","verb   ",NULL
"θαῤῥέω, θαρρέω","θαῤῥοῦμεν, θαρροῦμεν","verb   ",NULL
"θαῤῥέω, θαρρέω","θαῤῥῆσαι, θαρρῆσαι","verb   ",NULL
"τρύβλιον, τρυβλίον",τρυβλίῳ,"noun   ",NULL
"τρύβλιον, τρυβλίον",τρυβλία,"noun   ",NULL
"τρύγητος, τρυγητός",τρυγήτῳ,"noun   ",NULL
"τρύγητος, τρυγητός",τρυγητῶν,"noun   ",NULL
"τρύγητος, τρυγητός","τρύγητον, τρυγητόν","noun   ",NULL
"τρύγητος, τρυγητός",τρυγήτου,"noun   ",NULL
"ἐλασσονέω, ἐλαττονέω",ἠλαττόνησε,"verb   ",NULL
"ἐλασσονέω, ἐλαττονέω",ἐλαττονήσει,"verb   ",NULL
"ἐλασσονέω, ἐλαττονέω",ἐλαττονωθῇ,"verb   ",NULL
"ἐλασσονέω, ἐλαττονέω",ἐλαττονώθη,"verb   ",NULL
"ἐλασσονόω, ἐλαττονόω",ἐλαττονοῦται,"verb   ",NULL
"ἐλασσονόω, ἐλαττονόω",ἐλαττονώσῃ,"verb   ",NULL
"ἐλασσόω, ἐλαττόω",ἐλασσουμένῳ,"part   ",NULL
"ἐλασσόω, ἐλαττόω",ἐλατομήθη,"verb   ",NULL
"ἐλασσόω, ἐλαττόω",ἐλαττῶν,"part   ",NULL
"ἐλασσόω, ἐλαττόω",ἐλαττοῦσθαι,"verb   ",NULL
"ἐλάσσων, ἐλάττων",ἐλάσσονι,"adj    ",NULL
"ἐλάσσων, ἐλάττων",ἐλάττονι,"adj    ",NULL
"κρείσσων, κρείττων",κρείττονι,"adj    ",NULL
"κρεμάζω, κρεμάννυμι",κεκρεμάσθαι,"verb   ",NULL
"κρεμάζω, κρεμάννυμι",κρεμάζων,"part   ",NULL
"κρεμάζω, κρεμάννυμι",κρεμάσῃ,"verb   ",NULL
"κρεμάζω, κρεμάννυμι",κρεμάσει,"verb   ",NULL
"κρεμάζω, κρεμάννυμι",κρεμασθήτω,"verb   ",NULL
"κρεμάζω, κρεμάννυμι",κρεμασθῆναι,"verb   ",NULL
"προΐημι, προίημι",προέμενοι,"part   ",NULL
"προΐημι, προίημι",προέσθαι,"verb   ",NULL
"προΐημι, προίημι",προήσεται,"verb   ",NULL
"προΐημι, προίημι",προήσομαι,"verb   ",NULL
"προΐημι, προίημι",προΐῃ,"verb   ",NULL
"προΐημι, προίημι",προΐεμαι,"verb   ",NULL
"προΐημι, προίημι",προϊέμενον,"part   ",NULL
"προΐημι, προίημι",προΐεντο,"verb   ",NULL
"προΐημι, προίημι",προῶμαι,"verb   ",NULL
"πρόϊμος, πρόιμος","πρόϊμα, πρόιμα","adj    ",NULL
"πρόϊμος, πρόιμος","πρώϊμον, πρώιμον","adj    ",NULL
"πρόϊμος, πρόιμος","πρώϊμος, πρώιμος","adj    ",NULL
"ὄμνυμι, ὀμνύω",ὀμνύειν,"verb   ",NULL
"ὄμνυμι, ὀμνύω",ὀμνύναι,"verb   ",NULL
"ὄμνυμι, ὀμνύω",ὀμοσάτω,"verb   ",NULL
"ἀποῤῥέω, ἀπορρέω","ἀπεῤῥύη, ἀπερρύη","verb   ",NULL
"ἀποῤῥήσσω, ἀπορρήσσω","ἀπέῤῥηξεν, ἀπέρρηξεν","verb   ",NULL
"ἀποῤῥήσσω, ἀπορρήσσω","ἀποῤῥήξει, ἀπορρήξει","verb   ",NULL
"ἀπόῤῥητος, ἀπόρρητος","ἀπόῤῥητα, ἀπόρρητα","adj    ",NULL
"ἀποθνήσκω, ἀποθνῄσκω",ἀπεθάνῃ,"verb   ",NULL
"ἀποθνήσκω, ἀποθνῄσκω",ἀποθανεῖν,"verb   ",NULL
"ἀποθνήσκω, ἀποθνῄσκω",ἀποθάνωμε,"verb   ",NULL
"ἀποθνήσκω, ἀποθνῄσκω",ἀποθνῄσκειν,"verb   ",NULL
"ἀποθνήσκω, ἀποθνῄσκω",ἀποθνῄσκετε,"verb   ",NULL
"ἀποθνήσκω, ἀποθνῄσκω",ἀποθνῃσκέτω,"verb   ",NULL
"ἀποῤῥίπτω, ἀπορρίπτω","ἀπεῤῥίφη, ἀπερρίφη","verb   ",NULL
"ἀποῤῥίπτω, ἀπορρίπτω","ἀπεῤῥίφης, ἀπερρίφης","verb   ",NULL
"ἀποῤῥίπτω, ἀπορρίπτω","ἀπέῤῥιψα, ἀπέρριψα","verb   ",NULL
"ἀποῤῥίπτω, ἀπορρίπτω","ἀπέῤῥιψαν, ἀπέρριψαν","verb   ",NULL
"ἀποῤῥίπτω, ἀπορρίπτω","ἀπέῤῥιψας, ἀπέρριψας","verb   ",NULL
"ἀποῤῥίπτω, ἀπορρίπτω","ἀπέῤῥιψεν, ἀπέρριψεν","verb   ",NULL
"ἀποῤῥίπτω, ἀπορρίπτω","ἀπόῤῥιπτε, ἀπόρριπτε","verb   ",NULL
"ἀποῤῥίπτω, ἀπορρίπτω","ἀποῤῥίψῃς, ἀπορρίψῃς","verb   ",NULL
"ἀποῤῥίπτω, ἀπορρίπτω","ἀποῤῥίψω, ἀπορρίψω","verb   ",NULL
"ἀποῤῥίπτω, ἀπορρίπτω","ἀποῤῥῖψαι, ἀπορρῖψαι","verb   ",NULL
"ἀπόῤῥοια, ἀπόρροια","ἀπόῤῥοια, ἀπόρροια","noun   ",NULL
"μόλιβος, μόλυβος",μόλυβον,"noun   ",NULL
"πόῤῥω, πόρρω","πόῤῥω, πόρρω","adv    ",NULL
"πόῤῥωθεν, πόρρωθεν","πόῤῥωθεν, πόρρωθεν","adv    ",NULL
"ἀποῤῥώξ, ἀπορρώξ","ἀποῤῥῶγας, ἀπορρῶγας","noun   ",NULL
"ἀποῤῥώξ, ἀπορρώξ","ἀποῤῥῶγος, ἀπορρῶγος","noun   ",NULL
"ῥόα, ῥοά","ῥόαι, ῥοαί","noun   ",NULL
"προΐστημι, προίστημι",προεστήκασιν,"verb   ",NULL
"προΐστημι, προίστημι",προεστηκόσι,"part   ",NULL
"προΐστημι, προίστημι",προεστηκότα,"part   ",NULL
"προΐστημι, προίστημι",προεστηκότας,"part   ",NULL
"προΐστημι, προίστημι",προεστηκότος,"part   ",NULL
"προΐστημι, προίστημι",προέστην,"verb   ",NULL
"προΐστημι, προίστημι",προεστᾶσιν,"verb   ",NULL
"προΐστημι, προίστημι",προεστῶτες,"part   ",NULL
"προΐστημι, προίστημι",προεστώς,"part   ",NULL
"προΐστημι, προίστημι",προϊστάμενοι,"part   ",NULL
"προΐστημι, προίστημι",προϊστάμενον,"part   ",NULL
"προΐστημι, προίστημι",προϊστάμενος,"part   ",NULL
"προΐστημι, προίστημι",προϊσταμένους,"part   ",NULL
"προΐστημι, προίστημι",προϊσταμένων,"part   ",NULL
"προΐστημι, προίστημι",προΐστασθαι,"verb   ",NULL
"προΐστημι, προίστημι",πρόστητε,"verb   ",NULL
"προΐστημι, προίστημι",προστῆναι,"verb   ",NULL
"πρᾷος, πρᾶος",πρᾶον,"adj    ",NULL
"ῥοΐσκος, ῥοίσκος","ῥοίσκοις, ῥοΐσκοις","noun   ",NULL
"ῥοΐσκος, ῥοίσκος","ῥοίσκον, ῥοΐσκον","noun   ",NULL
"ῥοΐσκος, ῥοίσκος","ῥοίσκους, ῥοΐσκους","noun   ",NULL
"ῥοΐσκος, ῥοίσκος","ῥοίσκων, ῥοΐσκων","noun   ",NULL
"πρᾳότης, πραότης","πραότητα, πρᾳότητα","noun   ",NULL
"πρᾳότης, πραότης","πραότητι, πρᾳότητι","noun   ",NULL
"πρᾳότης, πραότης","πραότητος, πρᾳότητος","noun   ",NULL
"ἀῤῥωστία, ἀρρωστία","ἀῤῥωστίαν, ἀρρωστιαν","noun   ",NULL
"ἀῤῥωστία, ἀρρωστία","ἀῤῥωστίαν, ἀρρωστίαν","noun   ",NULL
"ἀῤῥωστία, ἀρρωστία","ἀῤῥωστίας, ἀρρωστιας","noun   ",NULL
"ἀῤῥωστία, ἀρρωστία","ἀῤῥωστίας, ἀρρωστίας","noun   ",NULL
