lemma,form,pos,dialect
ζῷον,"ζῷα, ζῶα","noun   ",NULL
ζωοποιέω,"ζῳοποιεῖ, ζωοποιεῖ","verb   ",NULL
ζωοποιέω,"ζῳοποιοῦν, ζωοποιοῦν","part   ",NULL
πραΰς,"πραέος, πρᾳέος","adj    ",NULL
πραΰτης,"πραΰτητι, πρᾳΰτητι","noun   ",NULL
ἄρσην,"ἀῤῥένων, ἀρρένων","noun   ",NULL
εἰμί,"ἔστε, ἐστε","verb   ",NULL
εἰμί,"ἐστίν, ἔστιν","verb   ",NULL
θεῖος,"θεῖα, θεία","adj    ",NULL
δίδωμι,"δούς, δοῦς","part   ",NULL
θυΐσκη,"θυίσκαι, θυΐσκαι","noun   ",NULL
θυΐσκη,"θυίσκας, θυΐσκας","noun   ",NULL
θυΐσκη,"θυίσκην, θυΐσκην","noun   ",NULL
θυΐσκη,"θυισκῶν, θυϊσκῶν","noun   ",NULL
ἄῤῥηκτος,"ἀῤῥήκτοις, ἀρρήκτοις","adj    ",NULL
ἄῤῥην,"ἄῤῥενα, ἄρρενα","noun   ",NULL
θαρραλέος,"θαῤῥαλέοι, θαρραλέοι","adj    ",NULL
πεινάω,"πεινᾶν, πεινᾷν","verb   ",NULL
κεφφουρῆς,"κεφφουρῆ, κεφφουρη","noun   ",NULL
πρόϊμος,"πρόϊμα, πρόιμα","adj    ",NULL
ἀκολουθέω,"ἀκολουθεῖ, ἀκολούθει","verb   ",NULL
πᾶς,"πάσαις, πᾶσαις","adj    ",NULL
ἀναῤῥήγνυμι,"ἀνέῤῥηξαν, ἀνέρρηξαν","verb   ",NULL
ἀναῤῥήγνυμι,"ἀνέῤῥηξεν, ἀνέρρηξεν","verb   ",NULL
ποιέω,"ἐποίησαν, ἐποιήσαν","verb   ",NULL
πικρός,"πικρᾶς, πικράς","adj    ",NULL
ἀροτριάω,"ἀροτριᾶν, ἀροτριᾷν","verb   ",NULL
ἀνήρ,"ἄνδρι, ἀνδρί","noun   ",NULL
φημί,"φασίν, φασιν","verb   ",NULL
ἀποπλανάω,"ἀποπλανᾶν, ἀποπλανᾷν","verb   ",NULL
σώζω,"σώζεσθαι, σῴζεσθαι","verb   ",NULL
χείρ,"χείρων, χειρῶν","noun   ",NULL
ἔχθρα,"ἐχθράν, ἐχθραν","noun   ",NULL
