lemma,form,number,gender,case
ἄρσην,"ἀῤῥένων, ἀρρένων",pl,masc,gen
θυΐσκη,"θυίσκαι, θυΐσκαι",pl,"fem ",nom
θυΐσκη,"θυίσκας, θυΐσκας",pl,"fem ",acc
θυΐσκη,"θυίσκην, θυΐσκην",sg,"fem ",acc
θυΐσκη,"θυισκῶν, θυϊσκῶν",pl,"fem ",gen
"μόλιβος, μόλυβος",μόλυβον,sg,masc,acc
"βοῤῥᾶς, βορρᾶς","βοῤῥᾶ, βορρᾶ",sg,masc,gen
"βοῤῥᾶς, βορρᾶς","βοῤῥᾶν, βορρᾶν",sg,masc,acc
"βοῤῥᾶς, βορρᾶς",βορρᾷ,sg,masc,dat
"ἀπόῤῥοια, ἀπόρροια","ἀπόῤῥοια, ἀπόρροια",sg,"fem ",nom
κεφφουρῆς,"κεφφουρῆ, κεφφουρη",pl,neut,nom
"κράβαττος, κράββατος",κράβαττον,sg,masc,acc
"κράβαττος, κράββατος",κραβάττου,sg,masc,gen
"κράβαττος, κράββατος",κραββάτῳ,sg,masc,dat
"καρυίσκος, καρυΐσκος",καρυίσκους,pl,masc,acc
ζῷον,"ζῷα, ζῶα",pl,neut,nom
ἄῤῥην,"ἄῤῥενα, ἄρρενα",sg,masc,acc
ἀνήρ,"ἄνδρι, ἀνδρί",sg,masc,dat
"πρᾳότης, πραότης","πραότητα, πρᾳότητα",sg,"fem ",acc
"πρᾳότης, πραότης","πραότητι, πρᾳότητι",sg,"fem ",dat
"πρᾳότης, πραότης","πραότητος, πρᾳότητος",sg,"fem ",gen
"ῥόα, ῥοά","ῥόαι, ῥοαί",pl,"fem ",nom
"ῥοΐσκος, ῥοίσκος","ῥοίσκοις, ῥοΐσκοις",pl,masc,dat
"ῥοΐσκος, ῥοίσκος","ῥοίσκον, ῥοΐσκον",sg,masc,acc
"ῥοΐσκος, ῥοίσκος","ῥοίσκους, ῥοΐσκους",pl,masc,acc
"ῥοΐσκος, ῥοίσκος","ῥοίσκων, ῥοΐσκων",pl,masc,gen
"ἀποῤῥώξ, ἀπορρώξ","ἀποῤῥῶγας, ἀπορρῶγας",pl,"fem ",acc
"ἀποῤῥώξ, ἀπορρώξ","ἀποῤῥῶγος, ἀπορρῶγος",sg,"fem ",gen
πραΰτης,"πραΰτητι, πρᾳΰτητι",sg,"fem ",dat
"ἀῤῥωστία, ἀρρωστία","ἀῤῥωστίαν, ἀρρωστιαν",sg,"fem ",acc
"ἀῤῥωστία, ἀρρωστία","ἀῤῥωστίαν, ἀρρωστίαν",sg,"fem ",acc
"ἀῤῥωστία, ἀρρωστία","ἀῤῥωστίας, ἀρρωστιας",sg,"fem ",gen
"ἀῤῥωστία, ἀρρωστία","ἀῤῥωστίας, ἀρρωστίας",sg,"fem ",gen
"τρύβλιον, τρυβλίον",τρυβλίῳ,sg,neut,dat
"τρύβλιον, τρυβλίον",τρυβλία,pl,neut,acc
"τρύγητος, τρυγητός",τρυγήτῳ,sg,masc,dat
"τρύγητος, τρυγητός",τρυγητῶν,pl,masc,gen
"τρύγητος, τρυγητός","τρύγητον, τρυγητόν",sg,masc,acc
"τρύγητος, τρυγητός",τρυγήτου,sg,masc,gen
χείρ,"χείρων, χειρῶν",pl,"fem ",gen
ἔχθρα,"ἐχθράν, ἐχθραν",sg,"fem ",acc
